source_id,name_en,name_ms,name_default,feature_type,accessibility_type,wheelchair,tactile_paving,shelter,covered,bench,kerb,stroller,geom_type,geom_wkt,raw_properties
node/9833287687,,MRT Jinjang Pintu B,MRT Jinjang Pintu B,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.6559686 3.2085236),"{""@id"":""node/9833287687"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""MRT Jinjang Pintu B"",""name:ms"":""MRT Jinjang Pintu B"",""operator"":""Rapid KL;DBKL"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9833391162,MRT Kepong Baru Gate B,MRT Kepong Baru Pintu B,MRT Kepong Baru Pintu B,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.6480351 3.2107075),"{""@id"":""node/9833391162"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""lit"":""yes"",""name"":""MRT Kepong Baru Pintu B"",""name:en"":""MRT Kepong Baru Gate B"",""name:ms"":""MRT Kepong Baru Pintu B"",""name:zh"":""甲洞卫星市地铁站B门"",""name:zh-Hans"":""甲洞卫星市地铁站B门"",""name:zh-Hant"":""甲洞衛星市地鐵站B門"",""operator"":""Rapid KL"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9835111219,,Perumahan Jln Api Kiri 1,Perumahan Jln Api Kiri 1,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6451932 3.2076974),"{""@id"":""node/9835111219"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Perumahan Jln Api Kiri 1"",""name:ms"":""Perumahan Jln Api Kiri 1"",""operator"":""Rapid KL"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9836342467,,Perumahan Menjalara 62&62C (Opp),Perumahan Menjalara 62&62C (Opp),bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6230942 3.1930532),"{""@id"":""node/9836342467"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Perumahan Menjalara 62&62C (Opp)"",""name:ms"":""Perumahan Menjalara 62&62C (Opp)"",""operator"":""Rapid KL"",""public_transport"":""platform"",""ref"":""KL513"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9836342470,,Taman Menjalara (Utara),Taman Menjalara (Utara),bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6263255 3.1956252),"{""@id"":""node/9836342470"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Taman Menjalara (Utara)"",""name:ms"":""Taman Menjalara (Utara)"",""operator"":""Rapid KL"",""public_transport"":""platform"",""ref"":""KL512"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9836342472,,,Sekolah Menengah Agama Kuala Lumpur,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6268039 3.1961164),"{""@id"":""node/9836342472"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Sekolah Menengah Agama Kuala Lumpur"",""operator"":""Rapid KL"",""public_transport"":""platform"",""ref"":""KL511"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9849423415,Entrance A | Main Entrance,Pintu A | Pintu Utama,Pintu A | Pintu Utama,station_entrance,accessible_station_entrance,yes,,,,,,,Point,POINT(101.5803885 3.2064123),"{""@id"":""node/9849423415"",""destination"":""Pintu Utama;Villamas Condominium;Hospital Sungai Buloh;SJK (T) Saraswathy;ELC International School"",""level"":""0"",""name"":""Pintu A | Pintu Utama"",""name:en"":""Entrance A | Main Entrance"",""name:ms"":""Pintu A | Pintu Utama"",""name:zh"":""A门 | 大门"",""name:zh-Hans"":""A门 | 大门"",""name:zh-Hant"":""A門 | 大門"",""railway"":""subway_entrance"",""ref"":""A"",""wheelchair"":""yes""}"
node/9849815417,,,Elevator broken as of 2025-07,elevator,lift,yes,,,,,,,Point,POINT(101.6297026 3.2087817),"{""@id"":""node/9849815417"",""access"":""yes"",""highway"":""elevator"",""name"":""Elevator broken as of 2025-07"",""wheelchair"":""yes""}"
node/9849815457,,,,elevator,lift,yes,,,,,,,Point,POINT(101.6394038 3.214401),"{""@id"":""node/9849815457"",""highway"":""elevator"",""level"":""1"",""wheelchair"":""yes""}"
node/9849815470,Entrance C | Jalan Jinjang Permai 2,Pintu C | Jalan Jinjang Permai 2,Pintu C | Jalan Jinjang Permai 2,station_entrance,accessible_station_entrance,yes,,,,,,,Point,POINT(101.666194 3.2067994),"{""@id"":""node/9849815470"",""destination"":""Jalan Jinjang Permai 2"",""level"":""0"",""name"":""Pintu C | Jalan Jinjang Permai 2"",""name:en"":""Entrance C | Jalan Jinjang Permai 2"",""name:ms"":""Pintu C | Jalan Jinjang Permai 2"",""railway"":""subway_entrance"",""ref"":""C"",""wheelchair"":""yes""}"
node/9852334888,,,,elevator,lift,yes,,,,,,,Point,POINT(101.6667376 3.2064192),"{""@id"":""node/9852334888"",""highway"":""elevator"",""operator"":""MRT Corp"",""wheelchair"":""yes""}"
node/9876464866,"Opposite Taman Kota Warisan Permai, Persiaran Warisan",,"Opposite Taman Kota Warisan Permai, Persiaran Warisan",bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.7006692 2.826571),"{""@id"":""node/9876464866"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Opposite Taman Kota Warisan Permai, Persiaran Warisan"",""name:en"":""Opposite Taman Kota Warisan Permai, Persiaran Warisan"",""operator"":""Smart Selangor"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9876528676,"Opposite SK Kota Warisan, Persiaran Warisan",,"Opposite SK Kota Warisan, Persiaran Warisan",bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.7043539 2.8261424),"{""@id"":""node/9876528676"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Opposite SK Kota Warisan, Persiaran Warisan"",""name:en"":""Opposite SK Kota Warisan, Persiaran Warisan"",""operator"":""Smart Selangor"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
